job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,remote ratio
ai00065,data engineer,64129,USD,entry level,Contract,south korea,l,south korea,"java, git, deep learning",bachelor,0,manufacturing,15/12/2024,11/02/2025,909,7.1,machine intelligence group,Fully on site
ai00066,ai specialist,87938,USD,senior,ft,ireland,s,ireland,"mathematics, spark, python, aws",phd,8,education,15/12/2024,12/02/2025,508,8.1,machine intelligence group,Fully remote
ai00067,autonomous systems engineer,71405,USD,mid level,Full time,israel,l,israel,"sql, java, mlops, linux, pytorch",associate,4,retail,01/09/2024,29/10/2024,1153,9.5,advanced robotics,Fully on site
ai00068,machine learning engineer,316182,USD,expert,Part time,denmark,m,canada,"python, scala, statistics, git",associate,12,finance,09/02/2025,23/02/2025,2452,7.0,digital transformation llc,Fully on site
ai00069,machine learning researcher,72459,USD,entry level,Part time,germany,m,germany,"hadoop, python, kubernetes, azure",bachelor,0,gaming,30/08/2024,15/09/2024,583,9.6,quantum computing inc,Fully remote
ai00070,principal data scientist,78338,USD,mid level,ft,france,l,france,"mlops, kubernetes, git, python",associate,3,technology,31/10/2024,15/12/2024,548,8.7,cognitive computing,Fully remote
ai00071,nlp engineer,51907,USD,mid level,Full time,israel,m,singapore,"aws, kubernetes, azure",bachelor,4,healthcare,14/02/2024,02/04/2024,912,8.2,neural networks co,Fully remote
ai00072,autonomous systems engineer,122831,USD,senior,Full time,france,s,france,"pytorch, kubernetes, git, sql",master,7,real estate,31/05/2024,19/06/2024,761,8.4,algorithmic solutions,Fully remote
ai00073,machine learning researcher,124820,USD,mid level,Full time,norway,s,norway,"nlp, azure, statistics, spark, mathematics",associate,3,real estate,02/08/2024,01/10/2024,2077,9.9,cognitive computing,Hybrid
ai00074,autonomous systems engineer,134200,USD,senior,Part time,united kingdom,s,united kingdom,"linux, r, tableau",phd,9,retail,29/11/2024,09/01/2025,2396,7.8,machine intelligence group,Hybrid
ai00075,data engineer,51920,USD,entry level,Part time,sweden,s,finland,"scala, r, tableau, data visualization",phd,0,consulting,08/04/2025,13/05/2025,1778,7.9,digital transformation llc,Fully remote
ai00076,data engineer,56427,USD,entry level,Full time,singapore,m,singapore,"mathematics, kubernetes, spark",master,0,energy,16/11/2024,25/01/2025,1366,5.2,deeptech ventures,Fully remote
ai00077,ai product manager,213783,USD,expert,ft,canada,s,canada,"kubernetes, spark, statistics, scala",bachelor,16,energy,19/09/2024,06/10/2024,2383,9.2,quantum computing inc,Fully remote
ai00078,ml ops engineer,59728,USD,mid level,Full time,israel,m,israel,"mlops, sql, statistics",associate,2,finance,10/06/2024,13/08/2024,1350,7.5,datavision ltd,Hybrid
ai00079,computer vision engineer,119432,USD,senior,Contract,india,l,india,"scala, mlops, nlp",phd,6,technology,20/04/2024,08/06/2024,1008,6.3,autonomous tech,Fully on site
ai00080,ai research scientist,284486,USD,expert,Contract,united states,m,united states,"pytorch, linux, sql",master,12,consulting,13/02/2025,10/03/2025,2231,7.0,techcorp inc,Fully on site
ai00081,data analyst,157597,USD,expert,Contract,france,l,france,"git, kubernetes, tensorflow, r, java",bachelor,17,manufacturing,31/08/2024,15/09/2024,639,8.4,neural networks co,Hybrid
ai00082,ml ops engineer,196942,USD,expert,Contract,australia,l,australia,"r, tableau, sql, mlops, docker",master,19,gaming,01/04/2024,16/04/2024,826,7.5,techcorp inc,Fully remote
ai00083,machine learning researcher,207548,USD,expert,Contract,canada,m,canada,"nlp, azure, spark, data visualization",phd,10,energy,05/02/2024,11/03/2024,2292,6.7,cognitive computing,Fully on site
ai00084,nlp engineer,68838,USD,mid level,Full time,sweden,s,sweden,"java, sql, spark, tableau, azure",phd,3,automotive,20/06/2024,12/08/2024,804,7.4,techcorp inc,Hybrid
ai00085,ml ops engineer,125666,USD,expert,Full time,finland,l,finland,"docker, python, git, kubernetes, java",phd,13,telecommunications,19/06/2024,22/08/2024,757,8.4,techcorp inc,Fully remote
ai00086,nlp engineer,73174,USD,entry level,ft,denmark,m,denmark,"git, mlops, hadoop, python, spark",associate,0,finance,14/07/2024,08/09/2024,678,6.4,machine intelligence group,Hybrid
ai00087,autonomous systems engineer,33314,USD,entry level,Contract,israel,s,india,"sql, kubernetes, docker",bachelor,0,manufacturing,16/04/2025,15/06/2025,1207,8.3,future systems,Hybrid
ai00088,ai specialist,69914,USD,entry level,ft,united states,s,united states,"r, nlp, sql, gcp",associate,0,transportation,15/02/2025,15/04/2025,1517,7.0,smart analytics,Fully remote
ai00089,principal data scientist,152118,USD,expert,Full time,france,m,france,"spark, sql, python, mathematics, linux",master,11,automotive,20/05/2024,14/07/2024,1294,6.9,ai innovations,Hybrid
ai00090,ai software engineer,78014,USD,entry level,Contract,france,l,france,"pytorch, hadoop, scala, computer vision",phd,0,real estate,19/11/2024,07/12/2024,841,6.8,digital transformation llc,Hybrid
ai00091,research scientist,48466,USD,entry level,Part time,canada,s,canada,"hadoop, spark, kubernetes, python",bachelor,0,automotive,10/03/2025,14/05/2025,1146,5.7,predictive systems,Fully remote
ai00092,data analyst,97997,USD,senior,Contract,france,s,france,"hadoop, python, tensorflow, r, statistics",phd,8,technology,19/06/2024,16/07/2024,2419,6.0,algorithmic solutions,Hybrid
ai00093,principal data scientist,128341,USD,senior,Full time,singapore,s,singapore,"computer vision, pytorch, gcp, linux",bachelor,9,finance,26/04/2025,15/06/2025,2457,6.9,neural networks co,Fully on site
ai00094,ai research scientist,111528,USD,mid level,Full time,united states,l,united states,"java, hadoop, mathematics",phd,3,real estate,01/03/2024,08/05/2024,1299,9.5,predictive systems,Fully on site
ai00095,machine learning researcher,138945,USD,expert,Part time,canada,s,canada,"linux, r, nlp, pytorch, git",master,19,education,10/07/2024,15/09/2024,1559,8.9,deeptech ventures,Hybrid
ai00096,nlp engineer,98688,USD,senior,ft,israel,m,israel,"statistics, python, tensorflow, pytorch, git",bachelor,8,manufacturing,10/04/2024,03/05/2024,598,8.6,cognitive computing,Hybrid
ai00097,data analyst,109029,USD,senior,ft,france,s,france,"kubernetes, scala, java",bachelor,6,technology,05/04/2025,13/06/2025,2049,6.1,predictive systems,Fully on site
ai00098,nlp engineer,84797,USD,mid level,ft,canada,m,canada,"deep learning, statistics, computer vision, tensorflow, mathematics",master,4,real estate,04/12/2024,03/01/2025,1909,6.2,machine intelligence group,Fully on site
ai00099,machine learning researcher,290199,USD,expert,Contract,switzerland,l,denmark,"python, aws, kubernetes, deep learning",master,12,retail,12/01/2025,07/03/2025,1137,5.6,smart analytics,Hybrid
ai00100,ai research scientist,195691,USD,senior,Contract,united states,l,united states,"aws, kubernetes, docker, mathematics, mlops",phd,8,transportation,20/04/2024,22/06/2024,916,8.7,advanced robotics,Fully on site
ai00101,ai product manager,193448,USD,senior,ft,norway,l,norway,"scala, git, java",associate,9,consulting,02/01/2025,11/03/2025,579,6.6,cognitive computing,Fully remote
ai00102,ai product manager,138466,USD,expert,Part time,israel,l,israel,"azure, aws, pytorch, gcp, hadoop",associate,16,government,25/01/2024,04/04/2024,1690,9.5,smart analytics,Fully remote
ai00103,data analyst,91577,USD,mid level,Contract,netherlands,m,netherlands,"spark, mathematics, pytorch, sql, tensorflow",bachelor,3,transportation,27/01/2024,28/02/2024,859,6.5,algorithmic solutions,Fully remote
ai00104,computer vision engineer,92875,USD,mid level,ft,sweden,s,sweden,"sql, python, deep learning",phd,3,real estate,21/07/2024,27/09/2024,701,5.3,digital transformation llc,Fully on site
ai00105,data engineer,213287,USD,expert,ft,united kingdom,s,united kingdom,"tensorflow, gcp, pytorch, spark",master,13,healthcare,03/03/2025,03/04/2025,1102,6.3,cloud ai solutions,Fully remote
ai00106,nlp engineer,62171,USD,mid level,ft,japan,s,japan,"git, sql, pytorch, mathematics",bachelor,2,consulting,15/09/2024,07/11/2024,2162,8.1,ai innovations,Fully on site
ai00107,ai research scientist,152658,USD,expert,Full time,south korea,l,united kingdom,"data visualization, pytorch, spark, tensorflow",associate,16,automotive,28/01/2024,17/03/2024,548,9.0,techcorp inc,Hybrid
ai00108,ml ops engineer,95085,USD,mid level,ft,norway,m,norway,"tensorflow, sql, nlp, computer vision, git",associate,2,retail,20/03/2024,20/04/2024,2298,6.5,predictive systems,Fully remote
ai00109,deep learning engineer,86750,USD,mid level,Full time,france,s,france,"java, r, git, mathematics, spark",phd,2,government,13/12/2024,24/02/2025,1397,7.1,ai innovations,Fully remote
ai00110,ai specialist,64261,USD,mid level,Part time,israel,m,israel,"pytorch, docker, gcp",master,2,transportation,04/09/2024,10/10/2024,2385,8.8,techcorp inc,Fully on site
ai00111,machine learning researcher,205357,USD,expert,Part time,united states,s,united states,"computer vision, hadoop, git, aws",bachelor,18,education,08/03/2024,13/05/2024,1646,6.6,predictive systems,Fully remote
ai00112,ai architect,165676,USD,expert,Contract,france,s,france,"tensorflow, linux, sql, hadoop",associate,18,government,13/05/2024,25/06/2024,926,7.8,neural networks co,Hybrid
ai00113,computer vision engineer,114658,USD,senior,Contract,france,m,france,"sql, scala, python",bachelor,9,telecommunications,18/03/2024,20/04/2024,1560,8.2,algorithmic solutions,Fully remote
ai00114,data scientist,143149,USD,senior,Full time,france,l,france,"nlp, computer vision, mathematics, statistics, r",master,6,real estate,13/03/2024,10/05/2024,1169,9.1,digital transformation llc,Hybrid
ai00115,machine learning researcher,116276,USD,senior,Full time,germany,s,germany,"azure, r, linux, mlops",bachelor,7,technology,14/08/2024,06/09/2024,608,7.9,future systems,Hybrid
ai00116,nlp engineer,61055,USD,entry level,Full time,united states,m,ireland,"r, aws, computer vision, statistics, docker",bachelor,0,retail,04/06/2024,16/07/2024,1891,6.9,autonomous tech,Fully remote
ai00117,ml ops engineer,50303,USD,entry level,ft,austria,l,austria,"kubernetes, sql, azure, deep learning, linux",master,0,gaming,11/08/2024,02/10/2024,2015,7.0,datavision ltd,Fully remote
ai00118,data analyst,65570,USD,senior,Full time,ireland,s,ireland,"pytorch, sql, mlops, aws, tensorflow",associate,7,retail,22/10/2024,06/11/2024,635,9.9,smart analytics,Hybrid
ai00119,ai software engineer,231078,USD,expert,Full time,singapore,m,singapore,"mlops, r, git, mathematics",bachelor,17,consulting,15/04/2024,03/06/2024,784,7.6,neural networks co,Hybrid
ai00120,ai product manager,106633,USD,senior,ft,australia,m,south korea,"linux, scala, sql, git",bachelor,9,automotive,18/05/2024,25/06/2024,1243,5.5,algorithmic solutions,Fully remote
ai00121,ai specialist,121180,USD,senior,Full time,austria,l,austria,"git, deep learning, kubernetes, linux, gcp",master,9,media,06/01/2025,01/02/2025,611,7.0,quantum computing inc,Fully on site
ai00122,principal data scientist,64531,USD,entry level,Part time,china,l,netherlands,"git, sql, scala, python, computer vision",phd,0,retail,26/03/2025,13/04/2025,1645,7.0,smart analytics,Hybrid
ai00123,machine learning engineer,125654,USD,mid level,Contract,singapore,l,singapore,"python, tableau, java",phd,4,automotive,20/06/2024,25/08/2024,1212,6.8,datavision ltd,Hybrid
ai00124,machine learning researcher,182275,USD,expert,ft,austria,l,austria,"docker, aws, linux, git, azure",phd,14,technology,19/04/2025,14/05/2025,2427,9.0,deeptech ventures,Fully on site
ai00125,machine learning researcher,117708,USD,mid level,Full time,denmark,l,denmark,"pytorch, scala, linux, tableau, deep learning",phd,4,transportation,24/02/2024,17/03/2024,1912,9.3,neural networks co,Fully on site
ai00126,data engineer,143246,USD,expert,ft,south korea,s,south korea,"docker, sql, kubernetes, git, statistics",master,11,healthcare,25/12/2024,24/01/2025,1426,8.4,future systems,Fully on site
ai00127,ai product manager,203198,USD,senior,ft,denmark,l,denmark,"statistics, r, python, tensorflow",master,5,consulting,04/12/2024,11/01/2025,1596,7.6,deeptech ventures,Hybrid
ai00128,research scientist,69487,USD,entry level,Contract,switzerland,s,switzerland,"kubernetes, azure, spark, tensorflow, linux",master,0,transportation,04/11/2024,02/12/2024,1825,7.7,machine intelligence group,Fully on site
ai00129,ai product manager,95673,USD,expert,Full time,ireland,s,ireland,"gcp, r, azure, deep learning, pytorch",associate,17,technology,24/08/2024,15/09/2024,1467,8.1,neural networks co,Fully on site
ai00130,ai software engineer,59405,USD,entry level,Full time,austria,l,austria,"spark, python, deep learning, linux, java",bachelor,1,consulting,18/03/2025,12/04/2025,984,6.0,smart analytics,Fully remote
ai00131,ai specialist,131756,USD,senior,Part time,netherlands,m,finland,"aws, r, spark",phd,5,technology,03/08/2024,15/10/2024,2308,7.9,ai innovations,Fully on site
ai00132,ai software engineer,42835,USD,entry level,Part time,south korea,l,france,"python, tensorflow, pytorch",bachelor,0,media,02/03/2025,30/03/2025,539,9.0,machine intelligence group,Fully on site
ai00133,autonomous systems engineer,61893,USD,entry level,ft,canada,m,canada,"statistics, python, sql",associate,1,consulting,28/03/2024,01/05/2024,1419,5.2,predictive systems,Hybrid
ai00134,ml ops engineer,141791,USD,expert,Contract,france,m,france,"hadoop, azure, python, r",phd,13,media,03/02/2025,23/02/2025,2136,5.8,algorithmic solutions,Fully on site
ai00135,ai product manager,258637,USD,expert,Part time,united kingdom,m,united kingdom,"computer vision, gcp, azure, sql, python",master,11,education,16/01/2025,15/02/2025,813,9.1,cognitive computing,Hybrid
ai00136,nlp engineer,49485,USD,mid level,ft,finland,s,finland,"hadoop, java, data visualization",associate,2,technology,09/08/2024,16/09/2024,909,7.8,cloud ai solutions,Fully on site
ai00137,robotics engineer,172916,USD,senior,Part time,norway,s,india,"computer vision, sql, pytorch, java",bachelor,8,manufacturing,29/12/2024,15/01/2025,1630,7.6,smart analytics,Fully remote
ai00138,machine learning engineer,324557,USD,expert,ft,denmark,l,denmark,"hadoop, python, git, tensorflow",phd,11,telecommunications,06/11/2024,24/11/2024,1209,7.3,machine intelligence group,Fully remote
ai00139,ai consultant,73894,USD,mid level,Contract,france,m,france,"pytorch, statistics, mlops, kubernetes, computer vision",bachelor,4,consulting,08/08/2024,12/09/2024,1070,5.2,digital transformation llc,Hybrid
ai00140,principal data scientist,122598,USD,senior,ft,sweden,s,india,"linux, aws, computer vision, deep learning",associate,9,media,05/01/2025,13/02/2025,1181,5.2,digital transformation llc,Hybrid
ai00141,data scientist,94478,USD,mid level,Full time,denmark,s,denmark,"pytorch, tensorflow, hadoop, python",phd,4,retail,24/05/2024,25/06/2024,506,8.4,algorithmic solutions,Fully remote
ai00142,autonomous systems engineer,53088,USD,entry level,Part time,austria,m,austria,"gcp, kubernetes, computer vision, deep learning, sql",phd,1,finance,12/04/2025,13/06/2025,2090,9.0,machine intelligence group,Hybrid
ai00143,machine learning researcher,116012,USD,mid level,ft,denmark,m,australia,"sql, mlops, python",master,3,automotive,23/09/2024,30/10/2024,657,7.9,predictive systems,Fully on site
ai00144,deep learning engineer,35593,USD,entry level,Contract,china,s,china,"python, hadoop, deep learning",bachelor,0,media,09/03/2024,07/04/2024,1812,6.3,ai innovations,Fully on site
ai00145,ai product manager,149053,USD,expert,ft,austria,s,austria,"gcp, linux, r, hadoop",master,17,media,17/11/2024,26/12/2024,652,5.5,smart analytics,Fully on site
ai00146,principal data scientist,88230,USD,mid level,ft,austria,l,austria,"tensorflow, git, azure, python",associate,4,education,22/05/2024,27/07/2024,1984,7.6,deeptech ventures,Fully on site
ai00147,ai research scientist,224919,USD,expert,Full time,australia,m,switzerland,"kubernetes, deep learning, pytorch",associate,19,education,02/12/2024,24/01/2025,911,5.7,techcorp inc,Fully remote
ai00148,machine learning researcher,220439,USD,expert,Part time,netherlands,s,netherlands,"sql, data visualization, gcp, deep learning, mlops",associate,12,manufacturing,30/03/2024,15/04/2024,1795,9.9,techcorp inc,Fully remote
ai00149,nlp engineer,48861,USD,entry level,Part time,finland,s,finland,"gcp, python, computer vision, git",bachelor,0,healthcare,04/07/2024,11/08/2024,1031,8.1,deeptech ventures,Fully remote
ai00150,ai specialist,115841,USD,senior,Full time,united states,s,united states,"tensorflow, kubernetes, deep learning",phd,7,healthcare,25/10/2024,11/12/2024,1446,7.2,quantum computing inc,Fully on site
