job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00022,Autonomous Systems Engineer,102550.0,USD,Mid level,Part time,United States,M,United States,Fully on site,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,23/04/2024,23/06/2024,625,10.0,Cognitive Computing
AI00023,ML Ops Engineer,114289.29999999999,USD,Senior,Contract,Germany,S,Germany,Fully on site,"Hadoop, Git, Tableau",PhD,7,Automotive,13/03/2025,11/05/2025,1629,6.9,Quantum Computing Inc
AI00024,AI Product Manager,52167.0,USD,Mid level,Full time,Austria,M,Ireland,Fully remote,"Git, Hadoop, Docker",Master,4,Telecommunications,07/06/2024,24/06/2024,2298,9.3,Cloud AI Solutions
AI00025,ML Ops Engineer,53923.0,USD,Mid level,Full time,China,S,China,Fully on site,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,27/10/2024,18/11/2024,1006,7.4,AI Innovations
AI00026,Robotics Engineer,109779.0,USD,Senior,Part time,Israel,L,Israel,Fully remote,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,01/08/2024,02/10/2024,1146,8.8,DataVision Ltd
AI00027,ML Ops Engineer,80979.0,USD,Mid level,Contract,Australia,S,India,Hybrid,"Hadoop, Linux, Git, Scala",Master,2,Media,18/11/2024,18/01/2025,2109,7.7,TechCorp Inc
AI00028,Data Analyst,52997.0,USD,Mid level,Part time,Austria,M,Singapore,Fully on site,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,10/01/2025,20/02/2025,2101,8.6,Predictive Systems
AI00029,Head of AI,42819.0,USD,Entry level,Contract,Ireland,M,Ireland,Hybrid,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,08/10/2024,20/11/2024,2187,8.6,Cognitive Computing
AI00030,ML Ops Engineer,82083.0,USD,Mid level,Contract,Israel,L,Israel,Fully remote,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,18/01/2024,25/02/2024,1212,6.3,Future Systems
AI00031,Head of AI,77611.2,USD,Entry level,Full time,Netherlands,M,Netherlands,Fully remote,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,16/05/2024,26/07/2024,887,6.0,Advanced Robotics
AI00032,Research Scientist,68624.0,USD,Entry level,Full time,Denmark,M,Denmark,Fully on site,"Azure, Python, Spark",Master,1,Real Estate,31/01/2024,08/03/2024,1910,9.2,Cloud AI Solutions
AI00033,Robotics Engineer,146852.0,USD,Senior,Full time,Switzerland,S,Switzerland,Hybrid,"NLP, Scala, Python",PhD,7,Real Estate,28/08/2024,20/09/2024,684,5.3,Cognitive Computing
AI00034,ML Ops Engineer,178183.0,USD,Expert,Freelance,Finland,M,Finland,Fully on site,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,01/03/2024,19/03/2024,1850,5.7,Predictive Systems
AI00035,Deep Learning Engineer,150864.0,USD,Senior,Freelance,Sweden,L,Singapore,Fully on site,"R, GCP, MLOps, Linux",PhD,8,Consulting,26/10/2024,25/12/2024,1504,7.9,Smart Analytics
AI00036,Head of AI,126942.0,USD,Expert,Contract,Finland,L,Netherlands,Fully on site,"Git, Hadoop, Data Visualization",Associate,10,Finance,31/01/2024,26/02/2024,1261,9.9,Autonomous Tech
AI00037,AI Architect,53752.0,USD,Mid level,Part time,Japan,M,Japan,Fully remote,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,17/10/2024,12/11/2024,998,6.1,TechCorp Inc
AI00038,Robotics Engineer,111381.0,USD,Expert,Contract,Israel,S,Israel,Fully on site,"Linux, PyTorch, SQL, Statistics",Master,18,Government,14/01/2024,12/03/2024,1030,8.1,Autonomous Tech
AI00039,AI Specialist,41430.0,USD,Entry level,Part time,China,M,China,Hybrid,"Tableau, Docker, GCP",Bachelor,1,Healthcare,15/06/2024,29/07/2024,2323,8.0,Future Systems
AI00040,Data Engineer,190991.99999999997,USD,Expert,Freelance,Netherlands,L,Netherlands,Fully remote,"Computer Vision, Azure, Tableau",Associate,15,Government,01/03/2024,01/05/2024,831,5.1,DeepTech Ventures
AI00041,Data Scientist,96956.0,USD,Mid level,Full time,United States,M,China,Fully on site,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,24/02/2024,09/03/2024,761,5.3,DataVision Ltd
AI00042,AI Architect,196954.0,USD,Senior,Freelance,United States,L,United States,Hybrid,"Java, Mathematics, SQL",Bachelor,8,Finance,17/03/2025,16/04/2025,2290,7.5,DataVision Ltd
AI00043,AI Specialist,56745.0,USD,Entry level,Part time,Finland,L,Finland,Fully remote,"Spark, Mathematics, GCP",Associate,1,Telecommunications,01/02/2025,11/04/2025,502,5.5,Quantum Computing Inc
AI00044,Machine Learning Researcher,113455.0,USD,Senior,Full time,Singapore,M,Singapore,Hybrid,"Hadoop, Docker, Python, Azure",Associate,8,Retail,24/04/2024,12/06/2024,1281,8.0,AI Innovations
AI00045,ML Ops Engineer,182629.19999999998,USD,Senior,Part time,Netherlands,M,Netherlands,Hybrid,"Docker, R, Linux",Bachelor,5,Media,03/03/2025,03/05/2025,1926,7.4,Future Systems
AI00046,AI Research Scientist,174663.0,USD,Senior,Contract,United States,M,Singapore,Hybrid,"Data Visualization, Statistics, R",Associate,7,Media,10/01/2024,22/03/2024,1151,5.4,DeepTech Ventures
AI00047,AI Research Scientist,46753.0,USD,Entry level,Contract,India,S,India,Hybrid,"Scala, Java, Tableau",PhD,1,Manufacturing,16/11/2024,18/12/2024,2012,9.7,Quantum Computing Inc
AI00048,AI Software Engineer,69020.0,USD,Mid level,Freelance,China,L,China,Fully on site,"Java, Azure, GCP",Bachelor,4,Energy,05/09/2024,25/10/2024,1584,8.8,TechCorp Inc
AI00049,AI Specialist,288815.0,USD,Expert,Part time,Switzerland,S,Switzerland,Fully on site,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,08/08/2024,23/09/2024,1930,7.2,Cognitive Computing
AI00050,AI Consultant,124871.0,USD,Expert,Freelance,Austria,M,Finland,Hybrid,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,10/03/2025,17/05/2025,1556,8.0,Autonomous Tech
AI00051,AI Architect,80949.65,USD,Mid level,Full time,Germany,S,Germany,Fully on site,"Deep Learning, SQL, Mathematics",PhD,4,Government,16/08/2024,19/10/2024,1974,9.2,TechCorp Inc
AI00052,Research Scientist,115376.0,USD,Expert,Full time,India,M,India,Fully remote,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,12/03/2024,14/04/2024,2028,5.5,Autonomous Tech
AI00053,Research Scientist,106579.0,USD,Mid level,Part time,United States,S,United States,Fully remote,"Docker, Tableau, Mathematics",Associate,3,Gaming,24/02/2024,02/05/2024,2028,5.4,Cognitive Computing
AI00054,Data Scientist,135230.0,USD,Senior,Part time,Norway,S,Norway,Fully remote,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,07/07/2024,09/09/2024,1219,7.5,DataVision Ltd
AI00055,Research Scientist,67607.0,USD,Mid level,Part time,Israel,S,Israel,Hybrid,"Python, Tableau, TensorFlow, AWS",Master,4,Media,05/08/2024,26/08/2024,1714,8.6,Quantum Computing Inc
AI00056,AI Architect,88470.0,USD,Mid level,Part time,Canada,L,Canada,Fully on site,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,29/07/2024,27/09/2024,1528,9.1,Autonomous Tech
AI00057,Autonomous Systems Engineer,79863.0,USD,Mid level,Freelance,India,L,India,Fully remote,"Python, Docker, GCP, Scala",Associate,4,Automotive,28/09/2024,26/10/2024,1325,5.6,Autonomous Tech
AI00058,Machine Learning Engineer,60299.0,USD,Entry level,Part time,Israel,L,Israel,Fully remote,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,22/03/2025,01/05/2025,1872,6.6,Advanced Robotics
AI00059,Machine Learning Engineer,98491.74999999999,USD,Mid level,Full time,Germany,M,Germany,Fully on site,"PyTorch, Computer Vision, R",Associate,4,Transportation,09/02/2024,06/03/2024,793,7.9,AI Innovations
AI00060,AI Software Engineer,147697.48,USD,Senior,Freelance,United Kingdom,S,France,Fully on site,"R, Spark, AWS",Associate,8,Media,20/03/2024,05/05/2024,1945,9.0,TechCorp Inc
AI00061,Data Scientist,49365.0,USD,Entry level,Full time,China,M,China,Fully on site,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,22/06/2024,14/08/2024,1907,10.0,Predictive Systems
AI00062,Data Scientist,162296.0,USD,Senior,Part time,Norway,S,Norway,Hybrid,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,05/06/2024,01/07/2024,1714,6.2,Neural Networks Co
AI00063,AI Consultant,102382.0,USD,Mid level,Part time,Switzerland,M,Switzerland,Fully on site,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,23/03/2024,03/06/2024,2199,5.8,Smart Analytics
AI00064,AI Software Engineer,99972.0,USD,Mid level,Part time,Australia,M,Canada,Hybrid,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,20/02/2024,15/03/2024,799,6.5,Cloud AI Solutions
AI00065,Data Engineer,64129.0,USD,Entry level,Contract,South Korea,L,South Korea,Fully on site,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,15/12/2024,11/02/2025,909,7.1,Machine Intelligence Group
AI00066,AI Specialist,87938.0,USD,Senior,Full time,Ireland,S,Ireland,Fully remote,"Mathematics, Spark, Python, AWS",PhD,8,Education,15/12/2024,12/02/2025,508,8.1,Machine Intelligence Group
AI00067,Autonomous Systems Engineer,71405.0,USD,Mid level,Freelance,Israel,L,Israel,Fully on site,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,01/09/2024,29/10/2024,1153,9.5,Advanced Robotics
AI00068,Machine Learning Engineer,316182.0,USD,Expert,Part time,Denmark,M,Canada,Fully on site,"Python, Scala, Statistics, Git",Associate,12,Finance,09/02/2025,23/02/2025,2452,7.0,Digital Transformation LLC
AI00069,Machine Learning Researcher,83327.84999999999,USD,Entry level,Part time,Germany,M,Germany,Fully remote,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,30/08/2024,15/09/2024,583,9.6,Quantum Computing Inc
AI00070,Principal Data Scientist,90088.7,USD,Mid level,Full time,France,L,France,Fully remote,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,31/10/2024,15/12/2024,548,8.7,Cognitive Computing
AI00071,NLP Engineer,51907.0,USD,Mid level,Freelance,Israel,M,Singapore,Fully remote,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,14/02/2024,02/04/2024,912,8.2,Neural Networks Co
AI00072,Autonomous Systems Engineer,141255.65,USD,Senior,Freelance,France,S,France,Fully remote,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,31/05/2024,19/06/2024,761,8.4,Algorithmic Solutions
AI00073,Machine Learning Researcher,124820.0,USD,Mid level,Freelance,Norway,S,Norway,Hybrid,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,02/08/2024,01/10/2024,2077,9.9,Cognitive Computing
AI00074,Autonomous Systems Engineer,179828.0,USD,Senior,Part time,United Kingdom,S,United Kingdom,Hybrid,"Linux, R, Tableau",PhD,9,Retail,29/11/2024,09/01/2025,2396,7.8,Machine Intelligence Group
AI00075,Data Engineer,51920.0,USD,Entry level,Part time,Sweden,S,Finland,Fully remote,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,08/04/2025,13/05/2025,1778,7.9,Digital Transformation LLC
AI00076,Data Engineer,56427.0,USD,Entry level,Freelance,Singapore,M,Singapore,Fully remote,"Mathematics, Kubernetes, Spark",Master,0,Energy,16/11/2024,25/01/2025,1366,5.2,DeepTech Ventures
AI00077,AI Product Manager,213783.0,USD,Expert,Full time,Canada,S,Canada,Fully remote,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,19/09/2024,06/10/2024,2383,9.2,Quantum Computing Inc
AI00078,ML Ops Engineer,59728.0,USD,Mid level,Freelance,Israel,M,Israel,Hybrid,"MLOps, SQL, Statistics",Associate,2,Finance,10/06/2024,13/08/2024,1350,7.5,DataVision Ltd
AI00079,Computer Vision Engineer,119432.0,USD,Senior,Contract,India,L,India,Fully on site,"Scala, MLOps, NLP",PhD,6,Technology,20/04/2024,08/06/2024,1008,6.3,Autonomous Tech
AI00080,AI Research Scientist,284486.0,USD,Expert,Contract,United States,M,United States,Fully on site,"PyTorch, Linux, SQL",Master,12,Consulting,13/02/2025,10/03/2025,2231,7.0,TechCorp Inc
AI00081,Data Analyst,181236.55,USD,Expert,Contract,France,L,France,Hybrid,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,31/08/2024,15/09/2024,639,8.4,Neural Networks Co
AI00082,ML Ops Engineer,196942.0,USD,Expert,Contract,Australia,L,Australia,Fully remote,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,01/04/2024,16/04/2024,826,7.5,TechCorp Inc
AI00083,Machine Learning Researcher,207548.0,USD,Expert,Contract,Canada,M,Canada,Fully on site,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,05/02/2024,11/03/2024,2292,6.7,Cognitive Computing
AI00084,NLP Engineer,68838.0,USD,Mid level,Freelance,Sweden,S,Sweden,Hybrid,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,20/06/2024,12/08/2024,804,7.4,TechCorp Inc
AI00085,ML Ops Engineer,125666.0,USD,Expert,Freelance,Finland,L,Finland,Fully remote,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,19/06/2024,22/08/2024,757,8.4,TechCorp Inc
AI00086,NLP Engineer,73174.0,USD,Entry level,Full time,Denmark,M,Denmark,Hybrid,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,14/07/2024,08/09/2024,678,6.4,Machine Intelligence Group
AI00087,Autonomous Systems Engineer,33314.0,USD,Entry level,Contract,Israel,S,India,Hybrid,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,16/04/2025,15/06/2025,1207,8.3,Future Systems
AI00088,AI Specialist,69914.0,USD,Entry level,Full time,United States,S,United States,Fully remote,"R, NLP, SQL, GCP",Associate,0,Transportation,15/02/2025,15/04/2025,1517,7.0,Smart Analytics
AI00089,Principal Data Scientist,174935.69999999998,USD,Expert,Freelance,France,M,France,Hybrid,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,20/05/2024,14/07/2024,1294,6.9,AI Innovations
AI00090,AI Software Engineer,89716.09999999999,USD,Entry level,Contract,France,L,France,Hybrid,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,19/11/2024,07/12/2024,841,6.8,Digital Transformation LLC
AI00091,Research Scientist,48466.0,USD,Entry level,Part time,Canada,S,Canada,Fully remote,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,10/03/2025,14/05/2025,1146,5.7,Predictive Systems
AI00092,Data Analyst,112696.54999999999,USD,Senior,Contract,France,S,France,Hybrid,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,19/06/2024,16/07/2024,2419,6.0,Algorithmic Solutions
AI00093,Principal Data Scientist,128341.0,USD,Senior,Freelance,Singapore,S,Singapore,Fully on site,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,26/04/2025,15/06/2025,2457,6.9,Neural Networks Co
AI00094,AI Research Scientist,111528.0,USD,Mid level,Freelance,United States,L,United States,Fully on site,"Java, Hadoop, Mathematics",PhD,3,Real Estate,01/03/2024,08/05/2024,1299,9.5,Predictive Systems
AI00095,Machine Learning Researcher,138945.0,USD,Expert,Part time,Canada,S,Canada,Hybrid,"Linux, R, NLP, PyTorch, Git",Master,19,Education,10/07/2024,15/09/2024,1559,8.9,DeepTech Ventures
AI00096,NLP Engineer,98688.0,USD,Senior,Full time,Israel,M,Israel,Hybrid,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,10/04/2024,03/05/2024,598,8.6,Cognitive Computing
AI00097,Data Analyst,125383.34999999999,USD,Senior,Full time,France,S,France,Fully on site,"Kubernetes, Scala, Java",Bachelor,6,Technology,05/04/2025,13/06/2025,2049,6.1,Predictive Systems
AI00098,NLP Engineer,84797.0,USD,Mid level,Full time,Canada,M,Canada,Fully on site,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,04/12/2024,03/01/2025,1909,6.2,Machine Intelligence Group
AI00099,Machine Learning Researcher,290199.0,USD,Expert,Contract,Switzerland,L,Denmark,Hybrid,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,12/01/2025,07/03/2025,1137,5.6,Smart Analytics
AI00100,AI Research Scientist,195691.0,USD,Senior,Contract,United States,L,United States,Fully on site,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,20/04/2024,22/06/2024,916,8.7,Advanced Robotics
AI00101,AI Product Manager,193448.0,USD,Senior,Full time,Norway,L,Norway,Fully remote,"Scala, Git, Java",Associate,9,Consulting,02/01/2025,11/03/2025,579,6.6,Cognitive Computing
AI00102,AI Product Manager,138466.0,USD,Expert,Part time,Israel,L,Israel,Fully remote,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,25/01/2024,04/04/2024,1690,9.5,Smart Analytics
AI00103,Data Analyst,105313.54999999999,USD,Mid level,Contract,Netherlands,M,Netherlands,Fully remote,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,27/01/2024,28/02/2024,859,6.5,Algorithmic Solutions
AI00104,Computer Vision Engineer,92875.0,USD,Mid level,Full time,Sweden,S,Sweden,Fully on site,"SQL, Python, Deep Learning",PhD,3,Real Estate,21/07/2024,27/09/2024,701,5.3,Digital Transformation LLC
AI00105,Data Engineer,285804.58,USD,Expert,Full time,United Kingdom,S,United Kingdom,Fully remote,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,03/03/2025,03/04/2025,1102,6.3,Cloud AI Solutions
AI00106,NLP Engineer,62171.0,USD,Mid level,Full time,Japan,S,Japan,Fully on site,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,15/09/2024,07/11/2024,2162,8.1,AI Innovations
AI00107,AI Research Scientist,152658.0,USD,Expert,Freelance,South Korea,L,United Kingdom,Hybrid,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,28/01/2024,17/03/2024,548,9.0,TechCorp Inc
AI00108,ML Ops Engineer,95085.0,USD,Mid level,Full time,Norway,M,Norway,Fully remote,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,20/03/2024,20/04/2024,2298,6.5,Predictive Systems
AI00109,Deep Learning Engineer,99762.49999999999,USD,Mid level,Freelance,France,S,France,Fully remote,"Java, R, Git, Mathematics, Spark",PhD,2,Government,13/12/2024,24/02/2025,1397,7.1,AI Innovations
AI00110,AI Specialist,64261.0,USD,Mid level,Part time,Israel,M,Israel,Fully on site,"PyTorch, Docker, GCP",Master,2,Transportation,04/09/2024,10/10/2024,2385,8.8,TechCorp Inc
AI00111,Machine Learning Researcher,205357.0,USD,Expert,Part time,United States,S,United States,Fully remote,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,08/03/2024,13/05/2024,1646,6.6,Predictive Systems
AI00112,AI Architect,190527.4,USD,Expert,Contract,France,S,France,Hybrid,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,13/05/2024,25/06/2024,926,7.8,Neural Networks Co
AI00113,Computer Vision Engineer,131856.69999999998,USD,Senior,Contract,France,M,France,Fully remote,"SQL, Scala, Python",Bachelor,9,Telecommunications,18/03/2024,20/04/2024,1560,8.2,Algorithmic Solutions
AI00114,Data Scientist,164621.34999999998,USD,Senior,Freelance,France,L,France,Hybrid,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,13/03/2024,10/05/2024,1169,9.1,Digital Transformation LLC
AI00115,Machine Learning Researcher,133717.4,USD,Senior,Freelance,Germany,S,Germany,Hybrid,"Azure, R, Linux, MLOps",Bachelor,7,Technology,14/08/2024,06/09/2024,608,7.9,Future Systems
AI00116,NLP Engineer,61055.0,USD,Entry level,Freelance,United States,M,Ireland,Fully remote,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,04/06/2024,16/07/2024,1891,6.9,Autonomous Tech
AI00117,ML Ops Engineer,50303.0,USD,Entry level,Full time,Austria,L,Austria,Fully remote,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,11/08/2024,02/10/2024,2015,7.0,DataVision Ltd
AI00118,Data Analyst,65570.0,USD,Senior,Freelance,Ireland,S,Ireland,Hybrid,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,22/10/2024,06/11/2024,635,9.9,Smart Analytics
AI00119,AI Software Engineer,231078.0,USD,Expert,Freelance,Singapore,M,Singapore,Hybrid,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,15/04/2024,03/06/2024,784,7.6,Neural Networks Co
AI00120,AI Product Manager,106633.0,USD,Senior,Full time,Australia,M,South Korea,Fully remote,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,18/05/2024,25/06/2024,1243,5.5,Algorithmic Solutions
AI00121,AI Specialist,121180.0,USD,Senior,Freelance,Austria,L,Austria,Fully on site,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,06/01/2025,01/02/2025,611,7.0,Quantum Computing Inc
AI00122,Principal Data Scientist,64531.0,USD,Entry level,Part time,China,L,Netherlands,Hybrid,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,26/03/2025,13/04/2025,1645,7.0,Smart Analytics
AI00123,Machine Learning Engineer,125654.0,USD,Mid level,Contract,Singapore,L,Singapore,Hybrid,"Python, Tableau, Java",PhD,4,Automotive,20/06/2024,25/08/2024,1212,6.8,DataVision Ltd
AI00124,Machine Learning Researcher,182275.0,USD,Expert,Full time,Austria,L,Austria,Fully on site,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,19/04/2025,14/05/2025,2427,9.0,DeepTech Ventures
AI00125,Machine Learning Researcher,117708.0,USD,Mid level,Freelance,Denmark,L,Denmark,Fully on site,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,24/02/2024,17/03/2024,1912,9.3,Neural Networks Co
AI00126,Data Engineer,143246.0,USD,Expert,Full time,South Korea,S,South Korea,Fully on site,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,25/12/2024,24/01/2025,1426,8.4,Future Systems
AI00127,AI Product Manager,203198.0,USD,Senior,Full time,Denmark,L,Denmark,Hybrid,"Statistics, R, Python, TensorFlow",Master,5,Consulting,04/12/2024,11/01/2025,1596,7.6,DeepTech Ventures
AI00128,Research Scientist,69487.0,USD,Entry level,Contract,Switzerland,S,Switzerland,Fully on site,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,04/11/2024,02/12/2024,1825,7.7,Machine Intelligence Group
